"Front","Back"
"41. What connects moth eyes and solar panels?","b) Both use anti-reflective nanostructures to improve light capture"
"42. The surface energy of lotus leaves is:","b) Low"
"43. Nanostructured butterfly scales affect light through:","b) Interference and diffraction"
"44. The adhesion of gecko feet is:","a) Reversible and strong"
"45. The structural color of butterfly wings does not fade because:","a) It is due to light interference, not pigments"
"46. Biofabrication can utilize viruses because:","a) They naturally self-assemble into nanoscale structures"
"47. Reactive ion etching and lithography belong to which category?","a) Top-down fabrication"
"48. The functional basis of shark skin-inspired materials is:","a) Microgrooves reducing fluid drag"
"49. Which approach mimics diatom silica nanostructures?","a) Sol-gel processing"
"50. Combining lotus leaf and gecko features could yield:","a) A self-cleaning, adhesive material"
"1. Nanoparticles typically have dimensions between:","b) 1–100 nm"
"2. Why do nanoparticles exhibit unique properties?","b) Quantum and surface effects"
"3. Which of the following is not a type of nanoparticle?","d) Polyatomic"
"4. Inorganic nanoparticles are preferred for their:","b) Thermal stability and tunability"
"5. Gold and iron oxide nanoparticles are valued for:","b) Biocompatibility"
"6. Metal nanoparticles exhibit which optical phenomenon?","b) Surface Plasmon Resonance (SPR)"
"7. Which metal nanoparticle is widely used as an antimicrobial agent?","b) Silver"
"8. Gold nanoparticles are mainly used for:","b) Drug delivery and diagnostics"
"9. Metal oxide nanoparticles are composed of:","b) Metal + Oxygen"
"10. Which metal oxide nanoparticle is used for UV blocking?","b) ZnO"
"11. Titanium dioxide nanoparticles are known for:","b) Photocatalytic properties"
"12. Iron oxide nanoparticles are used in:","b) Magnetic hyperthermia therapy"
"13. Superparamagnetism means:","b) Magnetized only in an external field"
"14. Quantum dots are made of:","b) Semiconductor materials like CdSe, PbS"
"15. Quantum dots show size-dependent:","b) Fluorescence and optical properties"
"16. A smaller quantum dot emits:","b) Blue light"
"17. Ceramic nanoparticles are:","b) Inorganic and non-metallic"
"18. Mesoporous silica nanoparticles (MSNs) are used for:","b) Controlled drug delivery"
"19. Magnetic nanoparticles can be guided using:","b) Magnetic fields"
"20. Fe₃O₄ nanoparticles are examples of:","b) Magnetic metal oxides"
"21. Top-down approaches start from:","c) Bulk materials"
"22. Ball milling is a:","a) Top-down method"
"23. A disadvantage of ball milling is:","b) Poor size control and defects"
"24. Laser ablation produces:","b) Pure nanoparticles in solution"
"25. Lithography is mainly used for:","a) Fabricating patterned nanostructures in electronics"
"26. Sol-gel method forms nanoparticles through:","b) Hydrolysis and condensation of precursors"
"27. Co-precipitation is common for:","b) Magnetic nanoparticles (Fe₃O₄)"
"28. Hydrothermal synthesis involves reactions:","b) At high pressure and temperature in autoclaves"
"29. Thermal decomposition requires:","a) Heating organometallic precursors in solvents"
"30. Green synthesis uses:","b) Plant extracts or microbes"
"31. TEM provides:","b) Atomic-scale internal structure"
"32. SEM gives:","b) Surface morphology and texture"
"33. XRD is based on:","b) Bragg’s Law of diffraction"
"34. XPS is useful for analyzing:","b) Surface elements and oxidation states"
"35. UV-Vis spectroscopy identifies:","b) Optical properties (SPR peaks)"
"36. FTIR detects:","a) Functional groups and surface modifications"
"37. DLS measures:","a) Zeta potential and hydrodynamic diameter"
"38. TGA is used for:","b) Determining mass loss with temperature"
"39. Surface Plasmon Resonance occurs in:","b) Metal nanoparticles (Au, Ag)"
"40. Quantum confinement leads to:","b) Size-dependent optical emission"
"41. Superparamagnetism is ideal for:","b) MRI contrast and drug targeting"
"42. Catalytic activity increases due to:","a) High surface area and active sites"
"43. Ceramic nanoparticles improve:","b) Hardness and thermal stability"
"44. Zeta potential indicates:","b) Colloidal stability"
"45. Gold nanoparticles in medicine are used for:","a) Imaging and photothermal therapy"
"46. Quantum dots are used in:","b) Bioimaging and QLED displays"
"47. TiO₂ and ZnO nanoparticles purify water via:","b) Photocatalytic degradation"
"48. Silver nanoparticles in fabrics serve as:","b) Antibacterial agents"
"49. Magnetic nanoparticles remove pollutants by:","b) Adsorption and magnetic recovery"
"50. A major toxicity issue with Cd-based quantum dots is:","b) Heavy metal ion release"
"1. Which characteristic primarily distinguishes nanoparticles from bulk materials?","b) Surface-to-volume ratio"
"2. The unique optical and electronic properties of nanoparticles are due to:","b) Quantum confinement"
"3. Which of the following is not an inorganic nanoparticle?","d) Liposome"
"4. The typical size limit where nanomaterial behavior becomes significant is below:","b) 100 nm"
"5. A key reason for the biocompatibility of gold nanoparticles is:","b) Chemical inertness"
"6. Silver nanoparticles are effective antimicrobials because they:","b) Release Ag⁺ ions that damage microbial membranes"
"7. Which metal nanoparticle exhibits the strongest plasmonic resonance?","c) Silver"
"8. Photocatalytic activity in TiO₂ arises from:","b) Generation of electron–hole pairs under UV light"
"9. ZnO nanoparticles are commonly used in sunscreens due to:","a) High transparency and UV absorption"
"10. Magnetic nanoparticles like Fe₃O₄ exhibit:","b) Superparamagnetism"
"11. Quantum dots emit light when:","a) Excited by photons or electrons"
"12. Toxicity in quantum dots is often caused by:","a) Cadmium or lead ion release"
"13. Ceramic nanoparticles such as SiO₂ and Al₂O₃ are prized for:","b) Thermal resistance and chemical stability"
"14. Mesoporous silica nanoparticles (MSNs) are classified by their:","b) Pore size (2–50 nm) and high surface area"
"15. CoFe₂O₄ nanoparticles are known for:","b) Strong magnetic anisotropy"
"16. The main drawback of top-down synthesis methods is:","b) Poor size control and surface defects"
"17. Ball milling typically results in:","b) Broad size distribution and surface damage"
"18. Laser ablation produces nanoparticles via:","b) Laser-induced vaporization of bulk material"
"19. Lithography is best suited for:","b) Patterned nanoscale electronics"
"20. The sol–gel process begins with:","b) Metal alkoxide or chloride precursors in solution"
"21. Co-precipitation requires precise control of:","b) pH and temperature"
"22. Hydrothermal synthesis allows formation of:","a) Crystalline nanorods and nanowires"
"23. Thermal decomposition yields monodisperse nanoparticles when:","a) Temperature is constant and surfactants are used"
"24. Green synthesis avoids:","a) Organic solvents and toxic chemicals"
"25. An example of a green reducing agent in nanoparticle synthesis is:","b) Tea or plant extract"
"26. TEM can resolve structures as small as:","b) 1 nm"
"27. SEM combined with EDX provides:","b) Elemental composition of surfaces"
"28. In XRD, peak broadening indicates:","b) Small nanoparticle size"
"29. The Scherrer equation helps estimate:","a) Particle size from XRD peaks"
"30. XPS is especially useful for analyzing:","b) Surface oxidation states"
"31. The surface plasmon resonance (SPR) peak for gold nanoparticles appears typically at:","b) 520 nm"
"32. FTIR spectra are most often used to identify:","b) Organic ligands and coatings"
"33. Dynamic light scattering (DLS) assumes particles are:","b) Spherical"
"34. Zeta potential values near zero indicate:","b) Instability and aggregation tendency"
"35. Thermogravimetric analysis (TGA) reveals:","b) Organic coatings and decomposition profile"
"36. Color change in gold nanoparticles from red to purple indicates:","b) Aggregation affecting plasmon resonance"
"37. In superparamagnetic nanoparticles, magnetization disappears:","b) When external magnetic field is removed"
"38. Blocking temperature is related to:","b) Magnetic relaxation"
"39. Catalytic efficiency of nanoparticles is high because:","b) High surface atom reactivity"
"40. Nanoparticles in composites improve:","b) Mechanical and thermal performance"
"41. Mesoporous silica nanoparticles deliver drugs via:","b) Pore loading and triggered release"
"42. Photothermal therapy uses:","a) Gold nanoparticles converting NIR light to heat"
"43. Magnetic hyperthermia employs:","b) Alternating magnetic fields heating Fe₃O₄ NPs"
"44. TiO₂ nanoparticles in dye-sensitized solar cells function as:","b) Electron transport layer"
"45. Quantum dot LEDs (QLEDs) are advantageous because:","a) Color-tunable and high brightness"
"46. Fe₃O₄ nanoparticles can remove pollutants through:","a) Magnetic separation of bound contaminants"
"47. Nano-Ag in food packaging prevents:","b) Bacterial growth"
"48. ZnO and TiO₂ nanoparticles degrade organic pollutants using:","a) Photocatalysis under light"
"49. Nanoparticles enhance batteries by:","a) Increasing electrode surface area and ion diffusion rate"
"50. Al₂O₃ nanoparticles in coatings provide:","a) Scratch resistance and thermal stability"
"1. What are DNA-based nanostructures?","b) Artificial structures built using DNA as a material"
"2. Which property makes DNA a programmable building material?","b) Hydrogen bonding between specific base pairs"
"3. The two DNA bases connected by two hydrogen bonds are:","b) A–T"
"4. DNA diameter is approximately:","b) 2 nm"
"5. Base pair spacing in DNA is about:","b) 0.34 nm"
"6. How many base pairs per turn are in the B-DNA helix?","b) 10.5"
"7. DNA nanostructure programmability relies on:","b) Watson–Crick base pairing"
"8. What are “sticky ends” in DNA nanotechnology?","b) Designed overhangs for specific hybridization"
"9. “Sequence addressability” means:","a) Each base sequence acts as a positional code"
"10. Helical stability in DNA is maintained by:","b) Hydrogen bonding and base stacking"
"11. The melting temperature (Tm) of DNA represents:","b) Temperature at which 50% of duplexes dissociate"
"12. Which factor increases the Tm of DNA?","b) High G–C content"
"13. Salt concentration affects DNA duplexes by:","b) Stabilizing via charge shielding"
"14. Thermal annealing in DNA nanotech refers to:","b) Gradual cooling to allow correct folding"
"15. Persistence length (~50 nm) of dsDNA means:","b) It behaves as a semi-flexible rod"
"16. A-T rich regions of DNA are:","a) More flexible"
"17. G-C rich regions contribute to:","b) Rigidity and higher thermal stability"
"18. Bulges and mismatches in DNA nanostructures introduce:","b) Controlled curvature"
"19. DNA tiles use motifs such as:","a) Double and triple crossovers"
"20. DNA lattices can form:","b) 1D, 2D, and 3D arrays"
"21. In DNA origami, a long strand from which bacteriophage is used?","b) M13"
"22. DNA origami uses short “staple strands” to:","b) Fold scaffold into desired shapes"
"23. Which is an advantage of DNA origami?","b) Precise nanoscale patterning"
"24. DNA bricks differ from DNA origami by:","a) Not requiring a long scaffold strand"
"25. Dynamic DNA structures include:","b) Tweezers and walkers"
"26. DNA tweezers operate by:","b) Input strand hybridization"
"27. DNA walkers move through:","a) Strand displacement mechanisms"
"28. DNA-based logic gates can:","a) Perform computational tasks"
"29. Custom DNA strands are produced by:","b) Solid-phase synthesis"
"30. Thermal annealing is used for:","b) Self-assembly control"
"31. DNA nanostructures are purified using:","b) Gel electrophoresis or chromatography"
"32. Which technique provides surface images of DNA nanostructures?","b) Atomic Force Microscopy (AFM)"
"33. Which microscopy is used for internal structural details?","b) TEM"
"34. DNA nanorobots are designed for:","b) Controlled drug delivery and computation"
"35. Logic-gated nanorobots release drugs when:","b) Triggered by specific cellular signals"
"36. Aptamer-based biosensors detect:","b) Proteins, ions, or small molecules"
"37. DNA circuits are used for:","b) Signal amplification in sensing"
"38. DNA cages are used for:","b) Encapsulating and delivering drugs"
"39. DNA templates are used to organize:","a) Nanoparticles and nanowires"
"40. In synthetic biology, DNA scaffolds are used to:","b) Arrange enzymes spatially"
"41. DNA nanostructures degrade mainly due to:","b) Nuclease enzymes"
"42. Phosphorothioate modification increases:","b) Resistance to nucleases"
"43. PEGylation improves:","b) Biocompatibility and circulation time"
"44. Crosslinking DNA strands enhances:","a) Structural stability"
"45. Why is scalability a challenge in DNA nanotech?","a) Difficulties in large-scale oligo synthesis"
"46. Error rates in DNA nanostructure assembly come from:","a) Mismatched pairing and kinetic traps"
"47. Integration with other materials is challenging because:","b) Biochemical and physical compatibility issues"
"48. DNA’s structural predictability is due to:","a) Constant diameter and base spacing"
"49. One major future goal for DNA nanotech is:","b) Creating self-replicating artificial systems"
"50. Which modification enhances DNA’s in vivo stability the most?","a) Crosslinking and PEGylation combination"
"1. Which feature of DNA makes it a self-assembling nanomaterial?","b) Sequence-specific base pairing"
"2. The predictability of DNA geometry is crucial because:","a) It allows accurate spatial design at nanoscale"
"3. The term “Watson–Crick base pairing” refers to:","a) Hydrogen bonding between A–T and G–C"
"4. Number of hydrogen bonds in a G–C pair:","b) 3"
"5. Helical pitch of B-form DNA is approximately:","b) 3.4 nm"
"6. Which property enables DNA to function as a nanoscale ruler?","a) Constant base spacing of 0.34 nm"
"7. Base stacking in DNA contributes mainly to:","b) Helical stability"
"8. Short DNA helices (< 50 bp) behave as:","b) Rigid rods"
"9. Persistence length of dsDNA is about:","c) 50 nm"
"10. A-T-rich sequences are suitable for:","b) Hinges or flexible joints"
"11. DNA hybridization is:","b) Reversible and sequence-specific"
"12. Tm increases with:","d) Higher G–C content"
"13. Thermal annealing aids in:","a) Controlled self-assembly after heating and cooling"
"14. Hybridization kinetics can be tuned by adjusting:","b) Melting temperature and salt level"
"15. Misfolding of DNA nanostructures can be minimized by:","b) Slow thermal annealing"
"16. GC-rich regions yield:","b) Higher Tm and stiffness"
"17. Salt ions stabilize DNA by:","a) Neutralizing phosphate charges"
"18. Kinetic traps in DNA assembly occur due to:","a) Wrong strand pairing at high Tm"
"19. Sequence-dependent flexibility allows design of:","b) Curved or hinged nanostructures"
"20. Bulged bases are introduced to:","b) Introduce curvature"
"21. Double-crossover (DX) motifs are building blocks for:","a) DNA tiles and lattices"
"22. Triple-crossover (TX) structures add:","a) Additional rigidity"
"23. DNA tiles can form which dimensional arrays?","c) 1D, 2D, and 3D arrays"
"24. Main advantage of DNA origami:","b) Scaffolded, precise patterning"
"25. M13 bacteriophage DNA is used in:","a) DNA origami as the scaffold"
"26. DNA bricks differ from origami because:","a) Each strand acts as a modular block"
"27. DNA tweezers are controlled by:","a) Complementary input strands"
"28. DNA walkers achieve motion through:","a) Strand-displacement reactions"
"29. DNA-based logic gates can implement:","a) Boolean operations"
"30. Dynamic DNA devices are examples of:","a) Molecular machines"
"31. Solid-phase DNA synthesis uses:","a) Stepwise addition of nucleotides on a support"
"32. Self-assembly of DNA structures is driven by:","a) Hydrogen bond formation between complementary bases"
"33. Gel electrophoresis in DNA nanotech is used for:","a) Purifying assembled structures"
"34. AFM provides information about:","a) Surface topography and 2D shape"
"35. Fluorescence microscopy helps in:","a) Tracking dynamic DNA devices in real time"
"36. DNA nanorobots can be programmed to:","a) Deliver drugs to target cells"
"37. Logic-gated nanorobots release cargo based on:","a) Specific molecular inputs like RNA markers"
"38. Aptamer-based DNA biosensors detect:","a) Proteins or ions via selective binding"
"39. DNA circuits enable:","a) Signal amplification and biocomputation"
"40. DNA nanocages can be triggered to release drugs by:","a) pH, enzymes, or light stimuli"
"41. In nanoelectronics, DNA acts as:","a) Template for metal nanowires and quantum dot arrays"
"42. In synthetic biology, DNA scaffolds organize:","a) Enzymes into pathways"
"43. Theranostic DNA devices combine:","a) Therapy and diagnostics in one system"
"44. Integration with gold nanoparticles provides:","a) Optical imaging and plasmonic functions"
"45. DNA nanostructures in immunotherapy can:","a) Deliver immune adjuvants to tumors"
"46. Main biological challenge for DNA nanostructures:","a) Nuclease degradation"
"47. Phosphorothioate linkages protect DNA by:","a) Replacing oxygen with sulfur to resist nucleases"
"48. PEG coating on DNA structures helps:","a) Reduce immunogenicity and increase circulation time"
"49. Crosslinking between DNA strands improves:","a) Mechanical and thermal stability"
"50. Compact DNA origami folding enhances stability because:","a) Dense packing limits enzyme access"
"1. What are protein-based nanostructures?","b) Nanoscale assemblies made from natural or engineered proteins"
"2. Which property allows proteins to self-assemble into nanostructures?","b) Specific folding of amino acid chains"
"3. How do proteins achieve atomic-level precision?","a) Through amino acid sequence–dependent folding"
"4. Which of the following is NOT an advantage of protein-based nanostructures?","d) Lack of responsiveness"
"5. Proteins can respond to changes in:","d) All of the above"
"6. Ferritin and virus-like particles (VLPs) are examples of:","b) Cage-like structures"
"7. What is a key function of cage-like protein nanostructures?","b) Cargo encapsulation and delivery"
"8. Amyloid fibrils are used in:","b) Nanowire formation and biomaterials"
"9. Which protein forms a structural base in silk and is used in fibers?","c) Fibroin"
"10. Protein origami involves:","a) Folding polypeptides into defined 3D shapes"
"11. Protein origami is inspired by:","b) DNA origami principles"
"12. S-layer proteins naturally form:","a) Crystalline 2D arrays"
"13. Engineered protein complexes are often designed using:","b) Computational tools like Rosetta or AlphaFold"
"14. Amyloid fibrils are known for:","b) Highly ordered β-sheet structures"
"15. Protein lattices can be:","a) Natural or engineered"
"16. Self-assembly in proteins depends primarily on:","b) Quaternary and tertiary interactions"
"17. Genetic engineering in protein nanotech is used to:","b) Add functional sites or responsive domains"
"18. Computational protein design helps in:","a) Predicting folding and designing new architectures"
"19. Bioconjugation refers to:","b) Chemical linking of proteins with biomolecules or nanoparticles"
"20. Directed evolution is used for:","b) Enhancing protein stability and function through mutations"
"21. Cryo-electron microscopy (Cryo-EM) provides:","b) High-resolution 3D structures of proteins"
"22. X-ray crystallography is used to:","a) Determine atomic-level protein structure"
"23. AFM reveals:","b) Surface morphology and topography"
"24. DLS is mainly used for measuring:","a) Hydrodynamic size and particle distribution"
"25. Mass spectrometry verifies:","b) Protein identity and purity"
"26. Ferritin-based nanostructures are ideal for:","b) Targeted drug delivery"
"27. Virus-like particles (VLPs) are used in:","a) Vaccine delivery and immunotherapy"
"28. Protein nanostructures used as imaging agents are often labeled with:","a) Fluorescent tags or radionuclides"
"29. Protein nanostructures serve as contrast agents in:","a) MRI and PET imaging"
"30. Amyloid-based nanowires are useful for:","a) Bioelectronics and conductive materials"
"31. Enzyme-based protein nanosensors detect:","a) pH and small biomolecules"
"32. Protein scaffolds in catalysis serve to:","a) Position enzymes for enhanced reaction rates"
"33. Protein nanostructures in biosensors exploit:","a) Specific binding and conformational change"
"34. Protein-based nanoparticles are highly suitable for biomedical use because of:","b) Biocompatibility and functional diversity"
"35. VLP-based vaccines mimic:","a) Virus shape but lack viral genome"
"36. The major stability issue with protein nanostructures is:","a) Denaturation due to temperature or pH changes"
"37. Protease degradation affects:","a) In vivo stability of proteins"
"38. Why is large-scale production difficult?","a) Protein folding and purification are complex"
"39. Predictability of protein folding is:","b) Moderate and complex"
"40. Protein nanostructures may trigger:","a) Immune responses in vivo"
"41. Protein nanostructures are built from:","b) Amino acids"
"42. DNA nanostructures assemble via:","a) Base pairing (A–T, G–C)"
"43. Which has higher functional diversity?","b) Protein-based nanostructures"
"44. Predictability of DNA design is:","b) Higher due to simple base pairing"
"45. Mechanical rigidity is greater in:","a) DNA double helices"
"46. Protein-based nanostructures are more suitable for:","a) Catalysis and enzyme scaffolds"
"47. DNA synthesis is easier than protein production because:","c) Both a and b"
"48. Which nanostructure offers tunable mechanical properties?","a) Protein-based structures (e.g., collagen, elastin)"
"49. Hybrid nanostructures can combine:","a) DNA with proteins or inorganic nanoparticles"
"50. DNA is generally considered better than proteins for nanodesign because:","a) It is more predictable and programmable"
