"কম্পিউটার ভাইরাস কীভাবে ছড়ায়?","তথ্য উপাত্ত কপি করার সময় (যেমন সিডি বা পেনড্রাইভে) বা নেটওয়ার্ক দিয়ে।"
"কম্পিউটারকে ভাইরাস থেকে রক্ষা করার জন্য কী ব্যবহার করা হয়?","এন্টিভাইরাস প্রোগ্রাম।"
"কোন ধরনের সফটওয়্যারের জন্য সাধারণত ভাইরাস তৈরি করা হয় না?","মুক্ত সফটওয়্যার বা ওপেন সোর্স সফটওয়্যার।"
"বেশি সময় কম্পিউটারে সামাজিক যোগাযোগ করলে কী সমস্যা হতে পারে?","মানুষের সাথে স্বাভাবিক সম্পর্ক নষ্ট হতে পারে এবং অসামাজিক মানুষ হয়ে বড়ো হওয়ার আশঙ্কা থাকে।"
"আইসিটি ব্যবহারের মূল সতর্কতা কী?","আমরা যেন প্রযুক্তিটাকে ব্যবহার করি, প্রযুক্তি যেন কখনই আমাদের ব্যবহার করতে না পারে।"
"চতুর্থ অধ্যায়ের নাম কী?","ওয়ার্ড প্রসেসিং"
"লেখালেখির জন্য ব্যবহৃত অ্যাপ্লিকেশন সফটওয়্যারকে কী বলে?","ওয়ার্ড প্রসেসর।"
"ওয়ার্ড প্রসেসিং কী?","লেখালেখির শব্দ বা ওয়ার্ডগুলোকে সুন্দর করে সাজানো বা গোছানোর প্রক্রিয়া।"
"টাইপরাইটারের সাথে ওয়ার্ড প্রসেসরের সবচেয়ে বড়ো পার্থক্য কী?","ওয়ার্ড প্রসেসরে এডিটিং বা পরিবর্তন করা যায়।"
"ওয়ার্ড প্রসেসরের দ্বিতীয় বড়ো সুবিধা কী?","সংরক্ষণ (Save করা)।"
"ওয়ার্ড প্রসেসরে লেখা কোথায় সংরক্ষণ করা হয়?","ফাইল হিসেবে হার্ডড্রাইভে।"
"মাইক্রোসফট কোম্পানির জনপ্রিয় ওয়ার্ড প্রসেসরের নাম কী?","মাইক্রোসফট ওয়ার্ড (Microsoft Word)।"
"একটি বিনামূল্যে বা ওপেন সোর্স ওয়ার্ড প্রসেসরের উদাহরণ দাও।","ওপেন অফিস রাইটার (OpenOffice Writer)।"
"কম্পিউটারের মনিটরে ছোটো ছবিকে কী বলে?","আইকন (Icon)।"
"ওয়ার্ড প্রসেসর চালু করাকে কম্পিউটারের ভাষায় কী বলে?","ওপেন (Open) করা।"
"ওয়ার্ড প্রসেসরে লেখার শুরুতে যে ছোটো খাড়া লাইনটি জ্বলে-নেভে তাকে কী বলে?","কার্সর (Cursor)।"
"ওয়ার্ড প্রসেসরে বড়ো হাতের অক্ষরে লিখতে কোন কী চেপে ধরতে হয়?","শিফট কী (Shift Key)।"
"একটি শব্দ লেখা শেষ হওয়ার পর ফাঁকা জায়গা তৈরি করতে কী টিপতে হয়?","স্পেস বার (Space Bar)।"
"নতুন প্যারাগ্রাফ শুরু করতে কোন বাটন চাপতে হয়?","এন্টার (Enter) বাটন।"
"কার্সরের (Cursor) পরের অংশ মুছতে কোন বোতাম চাপতে হয়?","ডিলিট (Delete) বোতাম।"
"কার্সরের (Cursor) আগের অংশ মুছতে কোন বোতাম চাপতে হয়?","ব্যাকস্পেস (Backspace) বোতাম।"
"লেখালেখি সংরক্ষণ করাকে কম্পিউটারের ভাষায় কী বলে?","সেভ (Save) করা।"
"সেভ (Save) করা লেখাকে কী বলা হয়?","ফাইল (File)।"
"ফাইল সেভ করলে তা ডিফল্টরূপে কোথায় সংরক্ষিত হয়?","কম্পিউটারের হার্ডডিস্ক ড্রাইভে।"
"ওয়ার্ড প্রসেসর বন্ধ করার জন্য ফাইল মেনু থেকে কোন অপশন বেছে নিতে হয়?","এক্সিট (Exit)।"
"পুরাতন বা সেভ করা ফাইল খোলার জন্য ফাইল মেনু থেকে কোন সাব-মেনুতে ক্লিক করতে হয়?","ওপেন (Open)।"
"“The quick brown fox jumps over a lazy dog” এই বাক্যের বৈশিষ্ট্য কী?","এই বাক্যে ইংরেজি বর্ণমালার প্রত্যেকটি অক্ষর (A-Z) অন্তত একবার আছে।"
"পঞ্চম অধ্যায়ের নাম কী?","ইন্টারনেট পরিচিতি"
"জাতীয় শিক্ষাক্রম ও পাঠ্যপুস্তক বোর্ড-এর ওয়েবসাইট কোনটি?","www.nctb.gov.bd"
"ইন্টারনেট থেকে কোনো কিছু কম্পিউটারে সংরক্ষণ করাকে কী বলে?","ডাউনলোড (Download) করা।"
"ইন্টারনেটের বিশাল বিশ্বকোষটির নাম কী?","উইকিপিডিয়া (wikipedia.org)।"
"ইন্টারনেট কী?","সারা পৃথিবীর লক্ষ কোটি কম্পিউটারের একটি নেটওয়ার্ক।"
"একটি কম্পিউটার নেটওয়ার্কে কম্পিউটারগুলোকে সাধারণত কোন যন্ত্র দিয়ে সংযোগ দেওয়া হয়?","সুইচ (Switch)।"
"দুটি ভিন্ন নেটওয়ার্ককে বা একাধিক নেটওয়ার্ককে জুড়ে দেওয়ার জন্য কোন যন্ত্র ব্যবহার করা হয়?","রাউটার (Router)।"
"ইন্টারনেট (Internet) শব্দটি কোন দুটি শব্দ থেকে এসেছে?","Interconnected Network থেকে Inter এবং Net।"
"ইন্টারনেট কত সালে আনু্ষ্ঠানিকভাবে চালু হয়?","১৯৬৯ সালে।"
"প্রথম ইন্টারনেটে কয়টি কম্পিউটার ছিল?","মাত্র চারটি।"
"ইন্টারনেটে নিজের তথ্য অন্যের সামনে তুলে ধরার ব্যবস্থাকে কী বলে?","ওয়েবসাইট।"
"ওয়েবসাইট সহজে খুঁজে বের করার জন্য কোন বিশেষ অ্যাপ্লিকেশন সফটওয়্যার ব্যবহার করা হয়?","সার্চ ইঞ্জিন (Search Engine)।"
"ওয়েবসাইট দেখার জন্য কোন অ্যাপ্লিকেশন সফটওয়্যার ব্যবহার করা হয়?","ব্রাউজার (Browser)।"
"ব্রাউজিং (Browsing) কথাটির আভিধানিক অর্থ কী?","ঘুরে বেড়ানো।"
"পাঁচটি জনপ্রিয় ওয়েব ব্রাউজারের নাম কী?","মজিলা ফায়ারফক্স, গুগল ক্রোম, অপেরা, মাইক্রোসফট এজ, সাফারি।"
"ব্রাউজারের যে নির্দিষ্ট জায়গায় ওয়েবসাইটের ঠিকানা লেখা হয় তাকে কী বলে?","এড্রেস বার (Address Bar)।"
"মুক্তিযুদ্ধ জাদুঘরের ওয়েবসাইটের ঠিকানা কী?","www.liberationwarmuseurn.org"
"নাসার (NASA) ওয়েবসাইটের ঠিকানা কী?","www.nasa.gov"
"ইন্টারনেটে কোনো তথ্য খোঁজার জন্য কোন ধরনের সফটওয়্যার ব্যবহার করা হয়?","সার্চ ইঞ্জিন (Search Engine)।"
"তিনটি জনপ্রিয় সার্চ ইঞ্জিনের নাম কী?","গুগল (Google), ইয়াহু (Yahoo), বিং (Bing)।"
"গুগল সার্চ ইঞ্জিনের ঠিকানা কী?","www.google.com"
"front","back"
"কম্পিউটারের ভেতরের তাপমাত্রা বাইরের তুলনায় কেমন থাকে?","অনেক বেশি।"
"কম্পিউটার ব্যবহারের জন্য ঘর এয়ারকন্ডিশনার দিয়ে ঠান্ডা রাখার কথাটি কি সঠিক?","না, এই কথাগুলো একেবারেই ঠিক নয়।"
"পানি বা অন্যান্য পানীয় বিদ্যুৎ পরিবাহী কি না?","হ্যাঁ, পানি বা অন্যান্য পানীয় বিদ্যুৎপরিবাহী।"
"অপটিক্যাল মাউস কীভাবে কাজ করে?","আলো প্রতিফলিত হয়ে এটি কাজ করে।"
"কম্পিউটার ভাইরাস কি মানুষের রোগজীবাণু ভাইরাসের মতো অসুস্থ করতে পারে?","না, কম্পিউটার ভাইরাস আমাদের অসুস্থ করতে পারে না।"
"কম্পিউটার গেমে আসক্ত হয়ে পড়লে কোন ধরনের অসুস্থতা বেশি বিপজ্জনক?","মানসিক অসুস্থতা।"
"বেশি সময় কম্পিউটারের সামনে বসে থাকলে কী ধরনের শারীরিক সমস্যা হতে পারে?","পিঠে ব্যথা, কোমরে ব্যথা, আঙুলে ব্যথা, চোখের সমস্যা।"
"লেখালেখি করে সেটাকে একটা নাম দিয়ে সংরক্ষণ করাকে কী বলে?","ফাইল (File) সেভ (Save) করা।"
"মাইক্রোসফট ওয়ার্ড এবং ওপেন অফিস রাইটার কিসের উদাহরণ?","ওয়ার্ড প্রসেসর।"
"ওয়ার্ড প্রসেসর চালু করলে মনিটরে যে সাদা কাগজের মতো পৃষ্ঠা খুলে যায়, তার শুরুতে কী দেখা যায়?","একটি ছোটো খাড়া লাইন যা জ্বলতে-নিভতে থাকে (Cursor)।"
"ওয়ার্ড প্রসেসরের File মেনু ব্যবহার করে কী কী কাজ করা যায়?","নতুন ফাইল খোলা (New), পুরাতন ফাইল খোলা (Open), ফাইল সংরক্ষণ (Save), বা প্রোগ্রাম বন্ধ (Exit) করা যায়।"
"তথ্য ও যোগাযোগ প্রযুক্তির বিপ্লবে সবচেয়ে গুরুত্বপূর্ণ বিষয়টি কী?","ইন্টারনেট।"
"ইন্টারনেট থেকে গণিত বইটি ডাউনলোড করার জন্য রাহাতের আম্মু কোন ওয়েবসাইটে গিয়েছিলেন?","জাতীয় শিক্ষাক্রম ও পাঠ্যপুস্তক বোর্ড-এর ওয়েবসাইট (www.nctb.gov.bd)।"
"ইন্টারনেটে ম্যাপ দেখে কী সুবিধা পাওয়া যায়?","অচেনা জায়গার রাস্তা বা খুঁটিনাটি তথ্য জানা যায়।"
"MP3 (এমপিথ্রি) কী?","গানের বা অডিও ফাইলের একটি ধরণ যা ইন্টারনেট থেকে ডাউনলোড করা যায়।"
"ইন্টারনেট ব্যবহার করে তথ্য খোঁজার জন্য বিশেষ অ্যাপ্লিকেশন সফটওয়্যারকে কী বলে?","সার্চ ইঞ্জিন (Search Engine)।"
"ব্রাউজারে প্রিয় ওয়েবসাইটের ঠিকানা সংরক্ষণ করে রাখাকে কী বলে?","বুকমার্ক (Bookmark) করা (যদিও বইয়ে বলা হয়েছে 'শিখিয়ে দেওয়া যায়')।"
"ইয়াহু (Yahoo) সার্চ ইঞ্জিনের ঠিকানা কী?","www.yahoo.com"
"বিং (Bing) সার্চ ইঞ্জিনের ঠিকানা কী?","www.bing.com"
"বাংলাদেশ জাতীয় ওয়েব পোর্টালের ঠিকানা কী?","www.bangladesh.gov.bd"
"বাংলাদেশের দর্শনীয় স্থান দেখার জন্য কোন ওয়েবসাইট?","www.parjatan.gov.bd"
"মুক্তিযুদ্ধ জাদুঘরের ওয়েবসাইটের ঠিকানা কী?","www.liberationwarmuseurn.org"
"নমুনা প্রশ্ন অনুযায়ী, 'রিবন' কী?","কাজের ধরন অনুযায়ী কমান্ড তালিকা।"
"নমুনা প্রশ্ন অনুযায়ী, 'তথ্যের মহাসরণি' কাকে বলা হয়?","ইন্টারনেট।"
"নমুনা প্রশ্ন অনুযায়ী, ওয়ার্ড প্রসেসরে 'এন্টার' (Enter) কী কাজে ব্যবহার করা হয়?","কার্সরকে এক লাইন নিচে নামাতে (নতুন প্যারাগ্রাফ শুরু করতে)।"
"কম্পিউটার বা আইসিটি ডিভাইসগুলোর সবচেয়ে গুরুত্বপূর্ণ অংশ কোনটি?","প্রসেসর বা সিপিইউ (CPU)।"
