"front","back"
"আমাদের ভাষাকে মেশিনের বোধগম্য কোডে রূপান্তর করে কী?","অনুবাদক প্রোগ্রাম বা সফটওয়্যার"
"ASCII-এর পূর্ণরূপ কী?","American Standard Code for Information Interchange"
"ASCII কোড কত বিটের কোড?","৮ বিটের কোড"
"বর্তমানে সর্বাপেক্ষা জনপ্রিয় কোড কোনটি?","ইউনিকোড (Unicode)"
"সাউন্ড কার্ড কী ধরনের ডিভাইস?","এটি একই সাথে ইনপুট ও আউটপুট ডিভাইস।"
"গ্রাফিক্স কার্ডের অপর নাম কী?","ভিডিও কার্ড, ডিসপ্লে কার্ড বা গ্রাফিক্স এডাপ্টার।"
"গ্রাফিক্স কার্ডের কাজ কী?","পর্দায় ছবি দেখানো।"
"টাচ স্ক্রিন কী ধরনের ডিভাইস?","এটি ইনপুট ও আউটপুট ডিভাইস।"
"টাচ স্ক্রিন কী?","এমন এক ধরনের ডিসপ্লে যা ব্যবহারকারীর কাছ থেকে টাচ বা আঙ্গুলের স্পর্শ ইনপুট সনাক্ত করতে পারে এবং মনিটরের মত স্ক্রিনে ফলাফলও প্রদর্শন করতে পারে।"
"মনিটর মূলত কী ধরনের ডিভাইস?","আউটপুট ডিভাইস"
"কোন ধরনের মনিটর ইনপুট ডিভাইস হিসেবেও কাজ করতে পারে?","টাচস্ক্রিন মনিটর"
"CRT-এর পূর্ণরূপ কী?","ক্যাথোড রে টিউব (Cathode Ray Tube)"
"LCD-এর পূর্ণরূপ কী?","লিকুইড ক্রিস্টাল ডিসপ্লে (Liquid Crystal Display)"
"LED-এর পূর্ণরূপ কী?","লাইট ইমিটিং ডায়োড (Light Emitting Diode)"
"প্রিন্টার কী ধরনের যন্ত্র?","আউটপুট যন্ত্র"
"প্রিন্টারের কাজ কী?","কম্পিউটারে প্রসেসিং করা আউটপুট কাগজে ছাপানো।"
"প্রিন্টার সাধারণত কত ধরনের?","তিন ধরনের (ডট ম্যাট্রিক্স, ইঙ্কজেট, লেজার)।"
"কোন প্রিন্টারের ছাপার ব্যয় অনেক কম?","ডট ম্যাট্রিক্স প্রিন্টার"
"কোন প্রিন্টার ব্যক্তিগত কাজে বেশি ব্যবহার করা হয়?","ইঙ্কজেট প্রিন্টার"
"কোন প্রিন্টারে তরল কালি ব্যবহৃত হয়?","ইঙ্কজেট প্রিন্টার"
"কোন প্রিন্টারে লেজার রশ্মির সাহায্যে কাগজে লেখা ছাপা হয়?","লেজার প্রিন্টার"
"কোন প্রিন্টারের ছাপার গতি ও মান অত্যন্ত উন্নত?","লেজার প্রিন্টার"
"প্লটার কী?","এটিও একটি ছাপার যন্ত্র, যা আর্কিটেকচারাল নকশা, মানচিত্র বা গ্রাফের নিখুঁত ও অনেক বড় কাগজে প্রিন্ট করতে ব্যবহৃত হয়।"
"স্পিকার কী ধরনের ডিভাইস?","আউটপুট ডিভাইস"
"স্পিকারের কাজ কী?","বৈদ্যুতিক তরঙ্গকে শ্রবণযোগ্য শব্দতরঙ্গে রূপান্তরিত করা।"
"হেডফোন কী ধরনের ডিভাইস?","আউটপুট ডিভাইস"
"হেডফোনের অপর নাম কী?","এয়ারফোন বা হেডসেট"
"তারবিহীন হেডফোন কী প্রযুক্তি ব্যবহার করে?","ব্লুটুথ বা ওয়াইফাই"
"মাল্টিমিডিয়া প্রজেক্টর কী?","এটি একটি ইলেকট্রো-অপটিক্যাল যন্ত্র যা কম্পিউটার বা অন্য উৎস থেকে নেওয়া ডেটা ইমেজে রূপান্তর করে বড় স্ক্রিনে ফেলে।"
"প্রজেক্টরের ঔজ্জ্বল্য কী এককে মাপা হয়?","লুমেন্স"
"এলসিডি প্রজেক্টরের ল্যাম্প সাধারণত কত ঘণ্টা পর পরিবর্তন করতে হয়?","চার হাজার ঘণ্টা"
"এলইডি প্রজেক্টরের ল্যাম্প কত ঘণ্টা কাজ করতে পারে?","বিশ হাজার ঘণ্টা"
"ছবির ডিজিটাল প্রতিলিপি করতে কোন ডিভাইসটি ব্যবহার করা হয়?","স্ক্যানার"
"প্রসেসরকে কম্পিউটারের মস্তিষ্ক বলা হয় কেন?","কারণ এটি কম্পিউটারের সকল কাজের নির্দেশনা দেয় এবং তথ্যের প্রক্রিয়াকরণ সম্পন্ন করে।"
"ডিজিটাল ক্যামেরায় তোলা ছবি সংরক্ষণ করতে কোন ডিভাইস ব্যবহার করা হয়?","হার্ডডিস্ক"
"একসাথে সরাসরি ছবি দেখা ও কথা বলার জন্য কোন কোন ডিভাইস ব্যবহার করা হয়?","ওয়েব ক্যামেরা ও মাইক্রোফোন"
