"front","Back"
"ছোট বাচ্চারা সহজে কিসে আসক্ত হয়ে যেতে পারে?","টেলিভিশনের কার্টুন।"
"IAD -এর পূর্ণরূপ কী?","Internet Addiction Disorder (ইন্টারনেট অ্যাডিকশন ডিসঅর্ডার)।"
"কখন বোঝা যায় একজন কম্পিউটারে আসক্ত হয়ে পড়েছে?","যখন সে পরিবার বা বন্ধুদের সময় না দিয়ে, বা লেখাপড়া ও কাজে ক্ষতি করে কম্পিউটারের পেছনে সময় দেয়।"
"কম্পিউটার আসক্তির একটি বড় কুফল কী?","মাঠে-ঘাটে খেলাধুলা না করার ফলে শারীরিক ও মানসিক বিকাশ বাধাগ্রস্ত হয়।"
"কম্পিউটার আসক্তি থেকে বের হওয়ার একটি ভালো উপায় কী?","খেলাধুলা করা এবং কম্পিউটারের বাইরের জগৎ থেকেও আনন্দ পাওয়া।"
"কম্পিউটার ব্যবহারের মূলনীতি কী হওয়া উচিত?","আমরা কম্পিউটার ব্যবহার করব, কিন্তু কম্পিউটার যেন আমাদের ব্যবহার করতে না পারে।"
"দুটি জনপ্রিয় সামাজিক যোগাযোগ নেটওয়ার্কের নাম কী?","ফেসবুক (Facebook) এবং এক্স (X) (পূর্বের টুইটার)।"
"সামাজিক নেটওয়ার্কের একটি বড় ইতিবাচক দিক কী?","অনেক মানুষের কাছে দ্রুত কোনো খবর বা তথ্য পৌঁছে দেওয়া যায় এবং মানুষ সংগঠিত হতে পারে।"
"কমবয়সিদের সামাজিক নেটওয়ার্কে যোগ দেওয়ায় আপত্তি কেন?","কারণ তারা অনেক সময় প্রাপ্তবয়স্কদের সাথে মিশে যায়, যা তাদের জন্য ভালো নাও হতে পারে।"
"সামাজিক নেটওয়ার্কে আসক্তির ফলে কী সমস্যা হয়?","মানুষজন ঘণ্টার পর ঘণ্টা কাজ না করে সময় নষ্ট করে এবং অসামাজিক হয়ে যেতে পারে।"
"সামাজিক নেটওয়ার্কের বন্ধু ও সত্যিকারের বন্ধুর মধ্যে পার্থক্য কী?","সত্যিকারের বন্ধুত্ব অনেক বেশি গভীর, আন্তরিক ও বাস্তব।"
"মানুষের জীবনযাপনে কয় ধরনের সম্পদের প্রয়োজন হয় ও কী কী?","দুই ধরনের: (১) জাগতিক সম্পদ (বাড়ি, গাড়ি) এবং (২) বুদ্ধিভিত্তিক সম্পদ (গান, কবিতা, গবেষণা)।"
"‘বুদ্ধিভিত্তিক সম্পদ’ (Intellectual Property) কী?","সৃজনশীল কাজ যেমন গান, কবিতা, গবেষণা, বা আবিষ্কারের মাধ্যমে তৈরি হওয়া সম্পদ।"
"‘কপিরাইট’ (Copyright) আইন কী?","এটি এমন একটি আইন যা সৃজনশীল কর্মের (বই, গান, সফটওয়্যার) স্রষ্টার অধিকার সংরক্ষণ করে এবং তার অনুমতি ছাড়া কপি বা পুনরুৎপাদন বন্ধ করে।"
"লেখকরা বই থেকে আয়ের যে অংশ পান তাকে কী বলে?","রয়্যালটি (Royalty)।"
"সর্বপ্রথম কপিরাইট আইন কবে, কোথায় পাস হয়?","১৬৬২ সালে, যুক্তরাজ্যে (Licensing of the Press Act 1662)।"
"বাংলাদেশের কপিরাইট আইন (২০০০) অনুযায়ী, স্রষ্টার মৃত্যুর পর কত বছর কপিরাইট বলবৎ থাকে?","৬০ বছর।"
"‘চোরাই’ (Pirated) কপি কী?","যখন কোনো সৃজনশীল কর্মের কপিরাইট ভঙ্গ করে সেটি পুনরুৎপাদন করা হয়।"
"‘ফেয়ার ইউজ’ (Fair Use) কী?","পড়ালেখা বা একাডেমিক কাজে কোনো সৃজনশীল কাজের অংশবিশেষ কপি করাকে ‘ফেয়ার ইউজ’ বলে, এটি কপিরাইট আইন ভঙ্গ করে না।"
"‘মুক্ত দর্শন’ বা ‘ওপেন সোর্স ফিলসফি’ কী?","এটি এমন একটি দর্শন যেখানে স্রষ্টা তার সৃজনশীল কর্মকে শর্তসাপেক্ষে সবার ব্যবহারের জন্য উন্মুক্ত করে দেন।"
"‘কপিলেফট’ (Copyleft) কী?","এটি কপিরাইটের উল্টো; স্রষ্টা সবাইকে তার কাজ কপি করার সানন্দ অনুমতি দিয়ে দেন।"
"‘ক্রিয়েটিভ কমন্স’ (Creative Commons) কী?","এটি কপিরাইট ও কপিলেফটের মাঝামাঝি একটি লাইসেন্স, যেখানে স্রষ্টার কিছু কিছু অধিকার সংরক্ষিত থাকে (যেমন- নাম উল্লেখ করা)।"
"একটি জনপ্রিয় মুক্ত জ্ঞানভান্ডারের উদাহরণ কী?","উইকিপিডিয়া (Wikipedia)।"
"‘হ্যাকিং’ (Hacking) কী?","অনুমতি ছাড়া অন্যের কম্পিউটার সিস্টেমে বা ওয়েবসাইটে প্রবেশ করা।"
"‘সাদা টুপি হ্যাকার’ (White hat hacker) কারা?","যারা কৌতূহলী হয়ে অন্যের ওয়েবসাইটে ঢোকে কিন্তু কোনো ক্ষতি না করে বের হয়ে আসে।"
"‘কালো টুপি হ্যাকার’ (Black hat hacker) কারা?","যারা অন্যের ওয়েবসাইটে ঢুকে কোনো কিছু পরিবর্তন, ক্ষতি বা নষ্ট করে আসে।"
"ইচ্ছাকৃতভাবে কোনো ওয়েবসাইটকে অচল করে দেওয়া কী ধরনের কাজ?","এটি একটি অনৈতিক কাজ।"
"ইন্টারনেটে প্রতারণার একটি উদাহরণ দাও।","ই-মেইল পাঠিয়ে লটারিতে টাকা পেয়েছে বলা এবং সেই টাকা দেওয়ার নাম করে উল্টো টাকা হাতিয়ে নেওয়া।"
"Mydoom Worm কী?","একটি কম্পিউটার ভাইরাস যা ২০০৪ সালে একদিনে আড়াই লক্ষ কম্পিউটারকে আক্রান্ত করেছিল।"
"Melissa (মেলিসা) কী?","১৯৯৯ সালের একটি শক্তিশালী কম্পিউটার ভাইরাস, যার আক্রমণে মাইক্রোসফটের মতো কোম্পানিকেও ই-মেইল সার্ভার বন্ধ রাখতে হয়েছিল।"
"‘প্লেজারিজম’ (Plagiarism) বা লেখা চুরি কী?","অন্যের লেখা, তথ্য বা সৃষ্টিশীল কাজ হুবহু কপি করে নিজের নামে চালিয়ে দেওয়া বা প্রকাশ করা।"
"অন্যের লেখা থেকে সাহায্য নিলে প্লেজারিজম এড়ানোর উপায় কী?","লেখায় অবশ্যই পরিষ্কারভাবে উল্লেখ করতে হবে কোন অংশটুকু অন্যের লেখা এবং তার অবদান স্বীকার করতে হবে।"
"বাড়িতে কম্পিউটার রাখার সবচেয়ে সুবিধাজনক স্থান কোনটি (পাঠ্যবই অনুযায়ী)?","বসার ঘর (যাতে সবাই কম্পিউটারের স্ক্রিন দেখতে পায়)।"
"কম্পিউটারে আসক্ত একজন ব্যক্তির প্রধান সমস্যা কী হয়?","সে অসামাজিক হয়ে যেতে পারে।"
"পাঁচ বছরের রিমু ঘুম থেকে উঠেই কার্টুন দেখা শুরু করলে এটিকে কী বলা যায়?","কার্টুনের প্রতি আসক্তি।"
