  4,মৌলিক বলের প্রকৃতি,মহাকর্ষ হুক,"আপনি কি জানেন যে পৃথিবী সব বস্তুকে তার দিকে টেনে ধরে রাখে?","কেন আমরা বাতাসে ভাসি না?","Gravity analogy: invisible string pulling everything down","মহাকর্ষ কী?; কোন উদাহরণে দেখা যায়?; পৃথিবীর বাইরে মহাকর্ষ থাকে কি?","একটি আপেল পড়ার উদাহরণ দিন; চাঁদের কক্ষপথ ব্যাখ্যা করুন","[https://www.youtube.com/watch?v=ljXlXc5kQ9U","https://phet.colorado.edu/sims/html/gravity-force-lab/latest/gravity-force-lab_en.html](https://www.youtube.com/watch?v=ljXlXc5kQ9U%22,%22https://phet.colorado.edu/sims/html/gravity-force-lab/latest/gravity-force-lab_en.html)"
  4,মৌলিক বলের প্রকৃতি,তড়িৎ চৌম্বকীয় বল হুক,"আপনি কি জানেন যে চুম্বক দিয়ে বস্তু চালানো যায়?","কেন চুম্বক লোহাকে টানে?","Magnet analogy: invisible force attracting objects","তড়িৎ চৌম্বকীয় বল কী?; কোন উদাহরণে দেখা যায়?; কি বস্তু এতে আকৃষ্ট হয়?","চুম্বকের খেলনা ব্যবহার; বিদ্যুতের প্রভাব ব্যাখ্যা করুন","[https://www.youtube.com/watch?v=5t9q1nN0qTw","https://phet.colorado.edu/sims/html/magnets-and-electromagnets/latest/magnets-and-electromagnets_en.html](https://www.youtube.com/watch?v=5t9q1nN0qTw%22,%22https://phet.colorado.edu/sims/html/magnets-and-electromagnets/latest/magnets-and-electromagnets_en.html)"
  4,মৌলিক বলের প্রকৃতি,দুর্বল নিউক্লিয় বল হুক,"আপনি কি জানেন যে আমাদের দেহের কণাগুলোও একে অপরকে ক্ষুদ্রভাবে প্রভাবিত করে?","কেন পারমাণবিক কণা একে অপরের সঙ্গে সংযুক্ত থাকে?","Story: Atomic bonds analogy: invisible handshake","দুর্বল নিউক্লিয় বল কী?; কোন প্রক্রিয়ায় দেখা যায়?; এটি জীবনে প্রভাব ফেলে?","পারমাণবিক decay ব্যাখ্যা করুন; চিকিৎসায় প্রয়োগ উদাহরণ দিন","[https://www.youtube.com/watch?v=W3iYI2U5hjM","https://phet.colorado.edu/sims/html/nuclear-decay/latest/nuclear-decay_en.html](https://www.youtube.com/watch?v=W3iYI2U5hjM%22,%22https://phet.colorado.edu/sims/html/nuclear-decay/latest/nuclear-decay_en.html)"
  4,মৌলিক বলের প্রকৃতি,সবল বল হুক,"আপনি কি জানেন যে নিউক্লিয়াসের ভিতরে শক্তিশালী বল বস্তুগুলোকে একত্রে রাখে?","কেন পরমাণু বিস্ফোরণে এত শক্তি থাকে?","Strong force analogy: glue holding particles together","সবল বল কী?; কোন অবস্থায় দেখা যায়?; শক্তির উৎস কোথায়?","নিউক্লিয়াসের উদাহরণ; শক্তি উৎপাদনের উদাহরণ ব্যাখ্যা করুন","[https://www.youtube.com/watch?v=8mBvZ0R3FqI","https://phet.colorado.edu/sims/html/nuclear-decay/latest/nuclear-decay_en.html](https://www.youtube.com/watch?v=8mBvZ0R3FqI%22,%22https://phet.colorado.edu/sims/html/nuclear-decay/latest/nuclear-decay_en.html)"
Topic Number,Subtopic,Slide Title,Content (Definition/Points),Hook/Question,Story/Analogy/Mnemonic,MCQ1;MCQ2;MCQ3,CQ1;CQ2,Video Link,Simulation Link
5,বল এর সাম্যাবস্থা ও অসাম্যাবস্থা,সাম্যাবস্থা হুক,"আপনি কি জানেন একটি সীসো কখনই ভারসাম্যহীন হয় না যদি দুইপাশের ওজন সমান থাকে?","কেন সীসো কখনও নাড়াচাড়া করে না?","Seesaw analogy: সমান ওজন = equilibrium","সমান ওজন কি?; বলের অবস্থার মানে কি?; অসাম্যাবস্থা কি?","দৈনন্দিন উদাহরণ দিন; সীসো ব্যাখ্যা করুন","[https://www.youtube.com/watch?v=H0ZcPkmTYkY","https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html](https://www.youtube.com/watch?v=H0ZcPkmTYkY%22,%22https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html)"
5,বল এর সাম্যাবস্থা ও অসাম্যাবস্থা,অসাম্যাবস্থা হুক,"কেন সীসো কখনও ভারসাম্যহীন হয়ে যেতে পারে?","কি কারণে ভারসাম্য বিঘ্নিত হয়?","Analogy: যদি এক পাশে বেশি লোক বসে তাহলে সীসো নড়বে","অসাম্যাবস্থা কবে হয়?; ভারসাম্য বিঘ্নের উদাহরণ?; সমাধান কি?","একটি সীসো বা ভারসাম্য পরীক্ষার উদাহরণ দিন; দৈনন্দিন উদাহরণ ব্যাখ্যা করুন","[https://www.youtube.com/watch?v=H0ZcPkmTYkY","https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html](https://www.youtube.com/watch?v=H0ZcPkmTYkY%22,%22https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html)"
6,ভরবেগ,ভরবেগ হুক,"আপনি কি জানেন একটি ভারী বল হালকা বলের তুলনায় ধীরগতি পরিবর্তন করে?","কেন ভারী ও হালকা বস্তুর গতি পরিবর্তনের ধরন ভিন্ন?","Momentum analogy: mass × velocity","ভরবেগ কী?; ভরবেগের একক কী?; ভরবেগ কোন ক্ষেত্রে গুরুত্বপূর্ণ?","দৈনন্দিন উদাহরণ; খেলার উদাহরণ","[https://www.youtube.com/watch?v=5t0nvb6hZ-Q","https://phet.colorado.edu/sims/html/momentum/latest/momentum_en.html](https://www.youtube.com/watch?v=5t0nvb6hZ-Q%22,%22https://phet.colorado.edu/sims/html/momentum/latest/momentum_en.html)"
7,সংঘর্ষ,সংঘর্ষের হুক,"আপনি কি জানেন দুটি বল ধাক্কা খেলে তারা তাদের গতি পরিবর্তন করে?","কেন দুটি বল সংঘর্ষে তাদের গতির পরিবর্তন ঘটায়?","Collision analogy: bumping balls","সংঘর্ষ কী?; Elastic ও Inelastic সংঘর্ষের পার্থক্য; ভরবেগ সংরক্ষণ?","কোন উদাহরণে Elastic collision দেখা যায়; দৈনন্দিন উদাহরণ ব্যাখ্যা করুন","[https://www.youtube.com/watch?v=C3lt1d0gA5M","https://phet.colorado.edu/sims/html/collision-lab/latest/collision-lab_en.html](https://www.youtube.com/watch?v=C3lt1d0gA5M%22,%22https://phet.colorado.edu/sims/html/collision-lab/latest/collision-lab_en.html)"
7,সংঘর্ষ,ভরবেগের সংরক্ষণশীলতা,"সংঘর্ষে মোট ভরবেগ অপরিবর্তিত থাকে যদি বাহ্যিক বল না থাকে।","কেন ভরবেগ সংরক্ষিত থাকে?","Story: Pool balls striking each other","ভরবেগ সংরক্ষণ কি?; কোন উদাহরণে দেখা যায়?; বাহ্যিক বল কি প্রভাব ফেলে?","পুল বা বক্সিং উদাহরণ ব্যাখ্যা করুন; গণনা উদাহরণ দেখান","[https://www.youtube.com/watch?v=C3lt1d0gA5M","https://phet.colorado.edu/sims/html/collision-lab/latest/collision-lab_en.html](https://www.youtube.com/watch?v=C3lt1d0gA5M%22,%22https://phet.colorado.edu/sims/html/collision-lab/latest/collision-lab_en.html)"
7,সংঘর্ষ,শক্তির সংরক্ষণশীলতা,"Elastic collision এ মোট kinetic শক্তি অপরিবর্তিত থাকে।","কেন শক্তি সংরক্ষণ হয়?","Analogy: Rubber balls retaining energy after bounce","শক্তি সংরক্ষণ কি?; কোন উদাহরণে দেখা যায়?; কোন ধরনের সংঘর্ষে হয়?","বাউন্সিং বলের উদাহরণ; দৈনন্দিন উদাহরণ ব্যাখ্যা করুন","[https://www.youtube.com/watch?v=C3lt1d0gA5M","https://phet.colorado.edu/sims/html/collision-lab/latest/collision-lab_en.html](https://www.youtube.com/watch?v=C3lt1d0gA5M%22,%22https://phet.colorado.edu/sims/html/collision-lab/latest/collision-lab_en.html)"
8,বস্তুর গতির উপর বলে প্রভাব,গতি পরিবর্তনের হুক,"কেন কিছু বস্তু সহজে চলতে পারে, আবার কিছু ধীরগতি হয়?","কেন বল প্রয়োগ করলে গতি পরিবর্তন হয়?","Push analogy: হালকা টেবিল সহজে চলে, ভারী টেবিল ধীরগতি হয়","বস্তুর গতি পরিবর্তন কোন বলের কারণে হয়?; একক কী?; প্রতিক্রিয়া কি?","দৈনন্দিন উদাহরণ; খেলাধুলার উদাহরণ","[https://www.youtube.com/watch?v=8iPTF6ip0Zc","https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html](https://www.youtube.com/watch?v=8iPTF6ip0Zc%22,%22https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html)"
9,নিউটনের ২য় সূত্র,নিউটনের ২য় সূত্র হুক,"আপনি কি জানেন একটি বস্তুতে যে বল প্রয়োগ করা হয়, সেটি তার ভর অনুযায়ী ত্বরণ পায়?","কেন ভারী বস্তুতে একই বল প্রয়োগ ধীরগতি পরিবর্তন করে?","Formula analogy: F = m × a","নিউটনের ২য় সূত্র কী?; F, m, a কি?; কোন উদাহরণে দেখা যায়?","বালির গাড়ি বা ট্রলি উদাহরণ; গণনা উদাহরণ দেখান","[https://www.youtube.com/watch?v=KU7A3w8mUjk","https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html](https://www.youtube.com/watch?v=KU7A3w8mUjk%22,%22https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html)"
10,মহাকর্ষ বল,মহাকর্ষের হুক,"আপনি কি জানেন যে চাঁদ পৃথিবীর চারপাশে কক্ষপথে ঘোরে?","কেন চাঁদ পৃথিবীর চারপাশে চলে?","Gravity analogy: invisible tether","মহাকর্ষ বল কী?; কক্ষপথে প্রভাব; পৃথিবীর ওজন পরিবর্তন?","উপগ্রহ, চাঁদের উদাহরণ; দৈনন্দিন উদাহরণ ব্যাখ্যা করুন","[https://www.youtube.com/watch?v=ljXlXc5kQ9U","https://phet.colorado.edu/sims/html/gravity-force-lab/latest/gravity-force-lab_en.html](https://www.youtube.com/watch?v=ljXlXc5kQ9U%22,%22https://phet.colorado.edu/sims/html/gravity-force-lab/latest/gravity-force-lab_en.html)"
11,কপিকল,কপিকলের হুক,"আপনি কি জানেন একটি বস্তুর ত্বরণ মহাকর্ষের উপর নির্ভর করে?","কেন একই ধরনের বস্তু ভিন্ন স্থানে ভিন্নভাবে পড়ে?","Analogy: Different planets gravity","কপিকল কী?; কি প্রভাব ফেলে?; গণনা কীভাবে হয়?","পৃথিবী ও চাঁদে একই বস্তু; দৈনন্দিন উদাহরণ ব্যাখ্যা করুন","[https://www.youtube.com/watch?v=ljXlXc5kQ9U","https://phet.colorado.edu/sims/html/gravity-force-lab/latest/gravity-force-lab_en.html](https://www.youtube.com/watch?v=ljXlXc5kQ9U%22,%22https://phet.colorado.edu/sims/html/gravity-force-lab/latest/gravity-force-lab_en.html)"
12,নিউটনের ৩য় সূত্র,৩য় সূত্রের হুক,"আপনি কি জানেন যখন আপনি দেয়াল ধাক্কা দেন, দেয়ালও আপনাকে চাপ দেয়?","কেন ধাক্কা দেওয়া এবং পাওয়া সমান?","Analogy: Action-Reaction; Rowing a boat","নিউটনের ৩য় সূত্র কী?; প্রতিক্রিয়া বল; উদাহরণ?","দৈনন্দিন উদাহরণ; খেলাধুলার উদাহরণ ব্যাখ্যা করুন","[https://www.youtube.com/watch?v=Tbv3b5IkZrM","https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html](https://www.youtube.com/watch?v=Tbv3b5IkZrM%22,%22https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html)"
13,ঘর্ষণ বল,ঘর্ষণ হুক,"আপনি কি জানেন যে চাকা ঘষলে ধীরগতি হয়?","কেন কিছু বস্তু চলতে না চায়?","Friction analogy: Invisible brake","ঘর্ষণ বল কী?; উদাহরণ; গতি পরিবর্তন?","স্লাইড, চাকা বা রাবার উদাহরণ ব্যাখ্যা করুন","[https://www.youtube.com/watch?v=pU7ko2c2XZ4","https://phet.colorado.edu/sims/html/friction/latest/friction_en.html](https://www.youtube.com/watch?v=pU7ko2c2XZ4%22,%22https://phet.colorado.edu/sims/html/friction/latest/friction_en.html)"
14,আবর্ত ঘর্ষণ,আবর্ত ঘর্ষণের হুক,"আপনি কি জানেন কিছু বস্তু ঘুরতে গিয়ে ঘষে থেমে যায়?","কেন ঘূর্ণন বাধাপ্রাপ্ত হয়?","Analogy: Spinning top slows due to friction","আবর্ত ঘর্ষণ কী?; উদাহরণ; গতি পরিবর্তন?","Top spinning; wheel bearing উদাহরণ ব্যাখ্যা করুন","[https://www.youtube.com/watch?v=pU7ko2c2XZ4","https://phet.colorado.edu/sims/html/friction/latest/friction_en.html](https://www.youtube.com/watch?v=pU7ko2c2XZ4%22,%22https://phet.colorado.edu/sims/html/friction/latest/friction_en.html)"
15,গতি ঘর্ষণ,গতি ঘর্ষণের হুক,"আপনি কি জানেন বস্তু চলমান অবস্থায় ঘষরে ধীরগতি হয়?","কেন চলমান বস্তু ধীরে হয়?","Sliding analogy: Ice vs rough road","গতি ঘর্ষণ কী?; উদাহরণ; গতি পরিবর্তন?","বাইকের চাকা; বই টেবিলে উদাহরণ ব্যাখ্যা করুন","[https://www.youtube.com/watch?v=pU7ko2c2XZ4","https://phet.colorado.edu/sims/html/friction/latest/friction_en.html](https://www.youtube.com/watch?v=pU7ko2c2XZ4%22,%22https://phet.colorado.edu/sims/html/friction/latest/friction_en.html)"
16,গতির উপর ঘর্ষণের প্রভাব,ঘর্ষণ ও গতি হুক,"কেন কিছু রাস্তা সহজে গাড়ি চলাচল করে?","কেন ঘর্ষণ কম হলে গতি বেশি হয়?","Analogy: Ice vs Road","কোন উদাহরণে ঘর্ষণ কম?; কোন উদাহরণে বেশি?; প্রভাব কী?","দৈনন্দিন উদাহরণ; খেলাধুলার উদাহরণ ব্যাখ্যা করুন","[https://www.youtube.com/watch?v=pU7ko2c2XZ4","https://phet.colorado.edu/sims/html/friction/latest/friction_en.html](https://www.youtube.com/watch?v=pU7ko2c2XZ4%22,%22https://phet.colorado.edu/sims/html/friction/latest/friction_en.html)"
17,ঘষর্ণ: একটা প্রয়োজনীয় উপদ্রব,সারসংক্ষেপ হুক,"কেন ঘর্ষণ আমাদের সাহায্যও করে এবং বাধাও দেয়?","কেন ঘর্ষণ প্রয়োজনীয় এবং বিরক্তিকর?","Analogy: friction helps walk but slows vehicles","ঘর্ষণ কি?; সুবিধা; অসুবিধা?","দৈনন্দিন উদাহরণ ব্যাখ্যা করুন; সুবিধা ও অসুবিধা লিখুন","[https://www.youtube.com/watch?v=pU7ko2c2XZ4","https://phet.colorado.edu/sims/html/friction/latest/friction_en.html](https://www.youtube.com/watch?v=pU7ko2c2XZ4%22,%22https://phet.colorado.edu/sims/html/friction/latest/friction_en.html)"
